ApplNo,SubmissionNo,SponsorName,event_year,y,p_oof
202714,34,ONYX PHARMS AMGEN,2022,0,0.050306541620747415
206229,12,MEDICINES360,2022,0,0.050276952311005506
208627,7,SIGA TECHNOLOGIES,2022,0,0.04966600061198764
209363,14,EVOFEM INC,2022,0,0.04831575408260497
209363,16,EVOFEM INC,2022,0,0.04787063284148226
761381,2,BRISTOL-MYERS SQUIBB,2025,0,0.047053781158572235
103795,5595,IMMUNEX,2023,0,0.044731500113285465
210251,19,GILEAD SCIENCES INC,2024,0,0.044599599493650326
212888,15,VIIV HLTHCARE,2024,0,0.043656183816017165
019732,45,ABBVIE ENDOCRINE INC,2022,0,0.04225010220467834
212887,3,VIIV HLTHCARE,2022,0,0.041927941300242265
210326,1,FRESENIUS KABI USA,2021,0,0.04169889503695283
218160,6,ELI LILLY AND CO,2025,0,0.04150316146856696
022023,21,MERCK AND CO INC,2022,0,0.039621507760703834
020825,63,VIATRIS,2022,0,0.03930074361588073
208411,6,EMERGENT,2023,0,0.0392959765240123
210566,3,MAYNE PHARMA,2021,0,0.03866691927737999
761055,70,REGENERON PHARMACEUTICALS,2025,0,0.03784108359702346
761381,1,BRISTOL-MYERS SQUIBB,2025,0,0.037825604651430346
050722,49,ROCHE PALO,2022,0,0.037106179061320486
205552,38,PHARMACYCLICS LLC,2022,0,0.03643274092218983
125377,133,BRISTOL MYERS SQUIBB,2025,0,0.03638508271850012
215985,2,ARCUTIS,2023,0,0.03635209365001026
761070,21,ASTRAZENECA AB,2024,0,0.036050205042003756
214032,1,TELIX,2023,0,0.035862670240101605
050722,51,ROCHE PALO,2022,0,0.03215221459784784
213535,13,GENENTECH INC,2024,0,0.029607620866903273
761049,15,EMD SERONO INC,2023,0,0.02952761905653623
761151,10,UCB INC,2024,0,0.029095188769561228
761097,16,REGENERON PHARMACEUTICALS,2023,0,0.02877697379408848
213246,15,ELI LILLY AND CO,2025,0,0.02873881177577463
211675,25,ABBVIE,2025,0,0.026690392371315205
761049,13,EMD SERONO INC,2022,0,0.02462842715517794
761105,29,ABBVIE INC,2024,0,0.024299041434615407
761097,23,REGENERON PHARMACEUTICALS,2024,0,0.023660757433971908
125472,56,GENENTECH,2024,0,0.0234196692565458
125557,26,AMGEN,2023,0,0.023274587552971047
761145,32,JANSSEN BIOTECH,2025,0,0.02319892492814014
125276,144,GENENTECH,2024,0,0.02311092035375466
761180,1,LEO PHARMA AS,2023,0,0.022634112715888867
208743,10,RADIUS,2021,0,0.02250247109166242
208447,25,GLAXOSMITHKLINE,2022,0,0.02240636720787058
125514,143,MERCK SHARP DOHME,2023,0,0.022355870299164377
125514,148,MERCK SHARP DOHME,2023,0,0.02222352425985867
125377,132,BRISTOL MYERS SQUIBB,2025,0,0.021982177779147117
125514,144,MERCK SHARP DOHME,2023,0,0.021933050888289535
761310,5,IMMUNOGEN INC,2024,0,0.021658773230025265
125514,138,MERCK SHARP DOHME,2023,0,0.02150949960121593
761151,7,UCB INC,2024,0,0.02089574234504082
761156,5,NOVO NORDISK INC,2023,0,0.020563971298357395
125557,23,AMGEN,2023,0,0.020466933934123997
125514,132,MERCK SHARP DOHME,2023,0,0.020295048057193593
125514,128,MERCK SHARP DOHME,2023,0,0.020260018084739196
210563,14,PHARMACYCLICS LLC,2022,0,0.01965724852775971
208772,13,TAKEDA PHARMS USA,2022,0,0.01924733030926754
212887,2,VIIV HLTHCARE,2022,0,0.019118587933799457
215833,21,NOVARTIS,2025,0,0.01900992459794924
214410,7,GENENTECH INC,2024,0,0.018982067627537957
020896,51,CHEPLAPHARM,2022,0,0.018650357909316868
209940,16,MERCK SHARP DOHME,2024,0,0.018526407252650208
202192,27,INCYTE CORP,2022,0,0.01845567314799613
761232,11,BEIGENE,2025,0,0.018315061697724698
209939,16,MERCK SHARP DOHME,2024,0,0.018224061130246366
205054,4,INVAGEN PHARMS,2023,0,0.01798166859250378
211580,6,NOVADAQ TECH,2023,0,0.017939770817093748
214012,16,NOVARTIS,2025,0,0.017912895098117658
125554,121,BRISTOL MYERS SQUIBB,2023,0,0.01782101685596889
209935,27,NOVARTIS,2024,0,0.017294777888582327
761059,6,SAMSUNG BIOEPIS CO LTD,2023,0,0.017244297342177976
125477,49,ELI LILLY AND CO,2025,0,0.017155726308694722
761263,5,GENENTECH INC,2024,0,0.01669336986807461
210251,18,GILEAD SCIENCES INC,2024,0,0.016560898396620276
208341,19,GILEAD SCIENCES INC,2022,0,0.016488411108553494
204370,14,ABBVIE,2025,0,0.01644704809969247
209092,19,NOVARTIS,2024,0,0.016318711186261544
206947,30,EISAI INC,2024,0,0.016227847125081154
216099,5,HANDA THERAP,2025,0,0.015832076883306404
208716,17,ELI LILLY AND CO,2024,0,0.01583112423945153
761279,2,ELI LILLY AND CO,2025,0,0.01576763256855007
761210,4,JANSSEN BIOTECH,2024,0,0.015602505484333392
213535,11,GENENTECH INC,2023,0,0.015588540589098265
761059,8,SAMSUNG BIOEPIS CO LTD,2023,0,0.01542782609263091
214697,1,ARS PHARMS OPERATION,2025,0,0.015373034971438765
761151,6,UCB INC,2024,0,0.015363987251509444
761055,51,REGENERON PHARMACEUTICALS,2023,1,0.01518396627017256
212273,12,VERTEX PHARMS INC,2024,0,0.015093267190235543
020896,50,CHEPLAPHARM,2022,0,0.015089835035078053
209940,12,MERCK SHARP DOHME,2024,0,0.015003307932485999
209939,13,MERCK SHARP DOHME,2024,0,0.014755371360271064
761345,3,PFIZER INC,2025,0,0.01468343623392163
210251,15,GILEAD SCIENCES INC,2022,0,0.014606719610714951
761145,29,JANSSEN BIOTECH,2025,0,0.014260018392997622
210563,13,PHARMACYCLICS LLC,2022,0,0.013603737624924917
213586,8,TEVA,2025,0,0.01343414971508353
204370,17,ABBVIE,2025,0,0.013312262743051256
213756,6,ASTRAZENECA,2025,0,0.0132105575497743
213082,11,PFIZER,2025,0,0.013082435070655882
214860,7,ACER,2025,0,0.012701897844277357
208464,16,GILEAD SCIENCES INC,2024,0,0.01267668643663604
215256,23,NOVO,2025,0,0.012631634198573669
761108,21,ALEXION PHARM,2022,0,0.012614914253403515
761309,1,GENENTECH INC,2025,1,0.012609099164252336
204370,16,ABBVIE,2025,0,0.012398389802996762
761059,5,SAMSUNG BIOEPIS CO LTD,2022,0,0.01230982667324516
761024,19,AMGEN INC,2024,0,0.012232931306676891
214787,26,GILEAD SCIENCES INC,2024,0,0.011977887824779286
761174,4,GLAXOSMITHKLINE,2023,0,0.011938841183290574
217660,3,VERTEX PHARMS INC,2024,0,0.011917638674391488
125276,149,GENENTECH,2025,0,0.01186940914336512
213246,9,ELI LILLY AND CO,2024,0,0.01172259021393399
207925,19,VERTEX PHARMS INC,2025,0,0.011708682844976628
020896,49,CHEPLAPHARM,2022,0,0.011671375418076932
761108,26,ALEXION PHARM,2023,0,0.011637843411655682
202806,23,NOVARTIS,2022,0,0.011593656028429879
215904,11,IMMEDICA PHARMA,2025,0,0.011592065311918448
761069,43,ASTRAZENECA UK LTD,2024,0,0.011511931555105766
125486,38,GENENTECH,2025,0,0.01147316141547323
761170,7,GENENTECH INC,2024,0,0.01144733571285133
204370,15,ABBVIE,2025,0,0.01140135066389134
215390,2,BIOXCEL,2025,0,0.011381458638308816
204630,21,PROVEPHARM SAS,2024,0,0.011163316926523125
206494,12,ABBVIE,2024,0,0.011154153092874717
216196,3,AGIOS PHARMS INC,2025,0,0.01109614410984997
761328,5,ASTRAZENECA AB,2024,0,0.011064888902150084
761232,12,BEIGENE,2025,0,0.011026588815397293
761285,1,AMGEN INC,2024,0,0.010930561207604307
215256,15,NOVO,2024,0,0.010704123653212489
204114,23,NOVARTIS,2022,0,0.010703775314841435
761262,7,ABBVIE INC,2024,0,0.010630250904356025
